Level	Department Name	Area Name	AHU Label	Location	Type	device_id	Remark	Class
L07	Inpatient Wards - Obstetric 2	Inpatient Wards - Obstetric 2	AHU-L7-OB2-01	AHU Room	4	e0704		IWO2 T4
L08	1st Class Ward	1st Class Ward	AHU-L8-CW-02	AHU Room	3	e0801		1CW T3
L08	1st Class Ward	1st Class Ward	AHU-L8-CW-01	AHU Room	1	e0802		1CW T1
L08	On Call Complex	On Call Complex	AHU-L8-OCC-01	AHU Room	15	e0803		OCC T15
L08	Inpatient Wards - Gynaecology 1	Inpatient Wards - Gynaecology 1	AHU-L8-GY1-01	AHU Room	2	e0804		IWG1 T2
L08	Inpatient Wards - Gynaecology 2	Inpatient Wards - Gynaecology 2	AHU-L8-GY2-01	AHU Room	2	e0805		IWG2 T2
L09	Nephrology/ Dialysis Ward and Renal Treatment Centre	Nephrology/ Dialysis Ward and Renal Treatment Centre	AHU-L9-NP-01	AHU Room	3	e0901		NDWRTC T3
L09	Nephrology/ Dialysis Ward and Renal Treatment Centre	Nephrology/ Dialysis Ward and Renal Treatment Centre	AHU-L9-NP-02	AHU Room	3	e0902		NDWRTC T3
L09	Inpatient Wards - Paediatric Medical Ward 5	Inpatient Wards - Paediatric Medical Ward 5	AHU-L9-PM5-01	AHU Room	3	e0903		IWPMW5 T3
L09	Inpatient Wards - Paediatric Medical Ward 5	Inpatient Wards - Paediatric Medical Ward 5	AHU-L9-PM5-02	AHU Room	18	e0904		IWPMW5 T18
L09	Neonatology Wards 1	Neonatology Wards 1	AHU-L9-NW1-01	AHU Room	3	e0905		NW1 T3
L09	Neonatology Wards 1	Neonatology Wards 1	AHU-L9-NW1-02	AHU Room	3	e0906		NW1 T3
L09	Neonatology Wards 2	Neonatology Wards 2	AHU-L9-NW2-02	Neonatalogy Wards 2 	3	e0907		NW2 T3
L09	Neonatology Wards 2	Neonatology Wards 2	AHU-L9-NW2-01	AHU Room	3	e0908		NW2 T3
